"Age","Traffic","Spans","Length","ImprovementCost","Humidity","Temperature","DaysBelow0C","Wetness","Precipitation"
27,2202,4,79.1,309,77,16.2,47,4355,1210.12
92,9540,10,396,1969,79,15.6,59,4612,1608.46
85,490,3,32.2,125,76,18.2,22,4269,1023.09
63,1140,5,134.8,527,77,16.8,38,4652,1241.05
9,1800,5,629.9,55944,78,16.3,50,4515,1329.91
34,4960,5,55.1,125,77,16.2,47,4355,1210.12
66,23520,5,1215.9,4751,78,15.1,59,4627,1252.83
65,19970,3,152.9,924,74,18,19,3993,1394.54
26,20,2,21,82,77,17.9,25,4528,1072.98
73,4380,2,29.9,117,78,13.7,74,4453,1501.58
41,27050,3,208,813,78,15.1,59,4627,1252.83
62,490,3,28.9,113,75,18.3,16,4199,1141.68
57,240,5,149.9,586,76,17.2,36,4474,1115.61
63,330,5,149.9,586,75,18.6,16,4198,1088.31
43,2820,4,44,172,78,16,50,4568,1345.25
26,1930,1,49.9,195,77,16.2,47,4355,1210.12
35,490,3,33.1,129,78,16,50,4568,1345.25
37,1600,4,298.9,0,77,16.2,47,4355,1210.12
34,490,4,42,164,79,19.9,5,4891,1458.74
50,490,2,22,86,78,14.9,65,4524,1515.94
62,140,3,81,316,75,18.7,16,4211,1174.05
17,4880,7,602,2352,76,18.4,15,4225,1431.38
27,110,3,25.9,102,76,18.2,22,4269,1023.09
23,8960,3,29.9,0,77,16.2,47,4355,1210.12
23,110,3,28.9,113,75,17.7,25,4277,1191.47
29,490,3,189,738,77,17.3,31,4643,1076.38
56,20340,3,209,817,76,17.8,27,4512,1039.26
18,4650,6,208,0,77,19.9,5,4656,1447.84
67,680,3,32.2,125,77,18.8,14,4423,1133.43
16,100,5,149.9,586,76,19.2,13,4163,1241.28
53,820,4,144,563,79,18.9,10,4683,1302.41
49,510,3,29.9,117,76,17.2,36,4474,1115.61
61,38840,3,37.1,302,79,19.5,8,4841,1472.46
3,490,2,22,1924,77,17.3,33,4649,1148.89
74,2140,2,21,82,76,17.2,36,4474,1115.61
17,7350,4,357.9,1399,77,17.3,33,4649,1148.89
58,600,2,60,234,76,16.7,39,4482,1150.77
60,100,2,21,82,78,15.8,52,4607,1283.64
24,4170,3,196.9,770,77,17.9,25,4528,1072.98
29,12840,2,106,753,74,18,19,3993,1394.54
22,600,2,21,82,74,18.2,25,4253,1055.31
31,10210,3,149.9,586,76,16.8,41,4359,1120.56
19,1940,4,43,168,76,16.8,41,4359,1120.56
32,4740,4,227,887,76,18.6,20,4202,1137.8
63,1120,3,28.9,113,78,19.4,8,4437,1294.62
43,110,3,28.9,113,75,17.7,25,4277,1191.47
62,1940,2,24,94,77,16.2,47,4355,1210.12
75,860,3,32.2,0,76,18.6,20,4202,1137.8
13,11820,1,60,234,77,16.2,47,4355,1210.12
26,490,5,154.9,606,77,16.3,43,4537,1196.86
81,1970,2,36.1,141,78,13.4,76,4325,1558.15
32,160,3,32.2,125,75,17.7,25,4277,1191.47
91,4790,3,34.1,133,76,18.9,14,4231,1334.9
21,104,4,44,172,75,19.3,7,4325,1544.85
25,28820,3,45.9,278,77,16.2,47,4355,1210.12
18,11140,3,200.1,781,76,16.8,41,4359,1120.56
72,520,3,32.2,125,77,16.8,38,4652,1241.05
62,8330,4,39,152,76,17.2,36,4474,1115.61
39,300,2,24,94,75,17.7,25,4277,1191.47
30,1030,5,200.1,781,76,19.2,9,4289,1149.91
38,90,1,40,156,77,16.8,38,4652,1241.05
74,380,4,107.9,422,76,19.2,13,4163,1241.28
53,470,3,123,481,78,16,50,4568,1345.25
70,490,3,33.1,129,77,16.4,43,4521,1263.46
34,8790,2,22,156,78,16,50,4568,1345.25
30,3520,3,25.9,102,75,18.7,16,4211,1174.05
56,520,6,228,891,76,18.6,12,4389,1523.05
59,1970,3,81,0,77,17.9,25,4528,1072.98
31,490,3,35.1,137,76,17.2,36,4474,1115.61
61,490,3,32.2,125,77,16.8,38,4652,1241.05
80,1520,3,32.2,125,75,18.6,16,4198,1088.31
47,400,2,22,86,78,15.8,52,4607,1283.64
29,490,3,33.1,129,78,16,50,4568,1345.25
54,137340,4,40,327,76,16.8,41,4359,1120.56
47,310,3,28.9,113,78,19.1,8,4599,1293.02
19,600,1,80.1,313,76,16.8,41,4359,1120.56
61,15580,4,43,260,77,17.9,30,4756,1107.59
24,12110,3,186,727,77,16.4,43,4521,1263.46
23,40,3,28.9,0,80,19.3,11,4951,1474.19
45,40,7,140.1,547,76,17.8,27,4512,1039.26
26,2160,5,54.1,326,78,16,50,4568,1345.25
63,600,4,223.1,871,79,18.9,10,4683,1302.41
49,3120,4,326.1,1274,77,16.2,47,4355,1210.12
36,3090,2,21,82,77,16.4,43,4521,1263.46
68,5970,3,26.9,105,77,16.2,47,4355,1210.12
30,850,7,279.9,0,77,18.8,14,4423,1133.43
72,1500,3,56.1,219,77,17.9,30,4756,1107.59
21,1430,4,334,949,78,15.6,57,4521,1462.63
70,270,3,26.9,105,79,19.4,10,4738,1381.25
74,1370,3,23,90,76,18.2,22,4269,1023.09
94,14160,3,90.9,356,77,16.2,47,4355,1210.12
44,9080,4,26.9,163,80,19.3,11,4951,1474.19
91,6190,3,23,139,77,17.9,30,4756,1107.59
8,69400,2,23,570238,76,17.8,27,4512,1039.26
43,1570,3,451.1,1762,78,15.1,59,4627,1252.83
37,7670,1,89.9,256,78,20.4,4,4824,1481.42
62,3110,4,39,0,75,18.6,16,4198,1088.31
44,15870,3,30.8,121,77,16.4,43,4521,1263.46
9,8000,4,160.1,0,76,16.8,41,4359,1120.56
42,91640,2,282.2,1102,77,16.2,47,4355,1210.12
13,850,1,49.9,195,79,19.5,8,4841,1472.46
74,1580,3,26.9,105,79,19.4,10,4738,1381.25
64,490,3,55.1,137,77,17.3,31,4643,1076.38
58,1160,6,54.1,211,76,18.9,14,4231,1334.9
16,360,3,32.2,125,78,16,50,4568,1345.25
64,400,4,60,234,81,19.7,9,5250,1452.15
74,600,2,21,82,76,18.2,22,4269,1023.09
28,490,4,44,172,78,15.1,59,4627,1252.83
44,30,2,21,82,75,17.7,25,4277,1191.47
59,90,2,21,82,76,17.3,32,4479,1129.57
34,600,4,45.9,180,78,13.4,76,4325,1558.15
60,550,4,144,563,78,18.9,14,4676,1384.74
37,78270,3,191.9,0,76,16.8,41,4359,1120.56
32,280,1,49.9,195,78,14.4,69,4451,1510
47,30,2,21,82,77,18.5,15,4386,1102.21
9,3320,3,105,9324,76,16.8,41,4359,1120.56
33,3170,3,28.9,113,76,19.2,9,4289,1149.91
41,1100,2,40,156,80,14.8,71,4637,1723.08
9,4390,8,319.9,28416,76,19.2,9,4289,1149.91
29,490,5,49.9,195,78,16.3,50,4515,1329.91
45,490,8,162.1,633,75,18.3,16,4199,1141.68
36,80,1,30.8,121,78,15.8,52,4607,1283.64
53,15150,4,44,313,74,18,19,3993,1394.54
49,670,2,40,156,80,19.3,11,4951,1474.19
37,15560,1,178.1,0,77,16.2,47,4355,1210.12
58,11700,3,36.1,141,77,16.2,47,4355,1210.12
14,1190,5,160.1,625,77,17.9,25,4528,1072.98
21,2030,3,43,168,78,18.9,14,4676,1384.74
66,21810,6,270,1918,76,17.8,27,4512,1039.26
43,4640,4,550.9,1566,77,16.2,47,4355,1210.12
55,105190,2,27.9,318,76,16.8,41,4359,1120.56
84,9340,4,136.2,170,75,18.6,16,4198,1088.31
33,600,5,200.1,781,79,19.4,13,4642,1418.14
30,104,2,80.1,313,76,16.7,39,4482,1150.77
27,990,3,23,90,75,18.3,16,4199,1141.68
46,62390,4,35.1,174,76,20,3,4432,1557.81
8,4110,3,181.1,16072,79,15.6,59,4612,1608.46
61,490,3,68.9,270,78,15.8,52,4607,1283.64
4,600,1,109.9,9768,78,15.8,52,4607,1283.64
7,1270,2,28.9,2590,78,16,50,4568,1345.25
40,104,3,25.9,102,77,17.3,31,4643,1076.38
5,590,8,160.1,14208,76,19.5,6,4317,1325.87
82,310,3,37.1,145,77,17.3,31,4643,1076.38
33,350,4,44,172,79,19.9,5,4891,1458.74
18,2202,4,35.1,137,77,16.2,47,4355,1210.12
47,240,10,200.1,781,79,19.4,10,4738,1381.25
31,280,3,25.9,102,79,15.6,59,4612,1608.46
19,50,3,32.2,125,76,17.5,32,4518,1116.36
48,1930,3,102,290,77,16.2,47,4355,1210.12
53,23710,4,61,0,77,16.2,47,4355,1210.12
82,700,3,25.9,0,76,18.6,20,4202,1137.8
48,68950,3,37.1,184,76,16.7,39,4482,1150.77
21,4060,22,960,3751,74,18.2,25,4253,1055.31
63,5450,3,120.1,469,78,15.8,52,4607,1283.64
23,340,3,33.1,129,79,15.6,59,4612,1608.46
70,2380,12,47.9,188,76,19.5,6,4317,1325.87
87,6770,3,25.9,157,75,18.6,16,4198,1088.31
32,600,3,37.1,145,78,19.1,8,4599,1293.02
18,5260,3,270,0,78,15.1,59,4627,1252.83
27,600,4,44,172,78,16,50,4568,1345.25
32,1930,3,23,0,76,16.8,41,4359,1120.56
46,34710,3,25.9,157,76,16.7,39,4482,1150.77
58,330,2,23,90,79,19.4,13,4642,1418.14
64,1320,3,118.1,461,76,16.8,41,4359,1120.56
42,2190,3,35.1,137,76,16.8,41,4359,1120.56
57,860,3,34.1,133,77,17.9,30,4756,1107.59
18,490,3,25.9,102,78,15.1,59,4627,1252.83
16,60,3,60,234,79,19.5,8,4841,1472.46
22,4270,4,160.1,625,74,18.2,25,4253,1055.31
82,7210,3,30.8,220,78,19.4,8,4437,1294.62
18,490,4,45.9,180,78,16,50,4568,1345.25
61,410,7,231,903,76,18.9,14,4231,1334.9
60,490,6,168,656,75,18.7,16,4211,1174.05
53,5730,12,480,1875,78,19.1,8,4599,1293.02
88,3500,2,21,82,76,19.5,6,4317,1325.87
11,7000,2,176.8,692,76,20,3,4432,1557.81
15,1760,3,96.1,375,78,16,50,4568,1345.25
72,490,3,32.2,125,78,19.4,8,4437,1294.62
87,1940,2,24,94,78,14.9,65,4524,1515.94
4,10420,1,120.1,10656,77,16.3,43,4537,1196.86
12,8720,2,259.8,1570,77,16.2,47,4355,1210.12
30,40,3,35.1,137,78,15.8,52,4607,1283.64
41,40,2,32.2,125,80,19.3,11,4951,1474.19
34,2760,3,220.1,0,77,17.9,30,4756,1107.59
67,2770,14,237.9,930,77,17.9,25,4528,1072.98
18,300,2,21,1,76,20,3,4432,1557.81
39,4960,2,118.1,0,76,16.8,41,4359,1120.56
56,15750,3,202.1,789,76,20,3,4432,1557.81
5,3840,7,379.9,33744,76,19.2,9,4289,1149.91
5,4780,1,151.9,13468,77,16.2,47,4355,1210.12
80,2202,2,22,86,76,16.8,41,4359,1120.56
9,22050,14,690,61272,77,16.3,43,4537,1196.86
61,600,3,25.9,102,76,18.4,15,4225,1431.38
23,50,2,21,82,79,19.4,13,4642,1418.14
38,490,4,43,168,75,17.7,25,4277,1191.47
37,140,3,25.9,102,79,18.9,10,4683,1302.41
66,330,3,32.2,125,76,17.5,32,4518,1116.36
93,3780,4,44,172,78,14.9,65,4524,1515.94
67,2880,3,30.8,121,76,19.5,6,4317,1325.87
32,100,4,160.1,625,76,17.8,27,4512,1039.26
23,43610,3,336,29822,77,16.4,43,4521,1263.46
70,5510,3,32.2,125,76,16.8,41,4359,1120.56
47,490,2,21,82,77,17.3,33,4649,1148.89
37,24000,3,143,559,78,14.9,65,4524,1515.94
9,190,3,240.2,21312,76,19.5,6,4317,1325.87
33,12770,7,629.9,2462,77,16.3,43,4537,1196.86
84,720,3,32.2,125,76,19.5,6,4317,1325.87
27,600,1,57.1,223,77,16.3,43,4537,1196.86
17,5950,3,185,723,76,18.2,22,4269,1023.09
66,440,14,213.9,0,78,19.1,8,4599,1293.02
12,2860,3,186,727,77,16.2,47,4355,1210.12
34,14610,3,120.1,469,76,18.2,22,4269,1023.09
48,16380,4,312,1219,76,16.7,39,4482,1150.77
52,1700,2,21,82,76,18.2,22,4269,1023.09
39,20,6,120.1,469,76,19.2,13,4163,1241.28
84,22330,3,86,519,77,16.2,47,4355,1210.12
57,790,2,21,82,74,18.2,25,4253,1055.31
51,420,3,28.9,0,77,19.9,5,4656,1447.84
44,21220,3,227,887,77,17.9,30,4756,1107.59
67,810,7,189,738,80,19.3,11,4951,1474.19
29,2370,3,25.9,102,76,18.9,14,4231,1334.9
2,2300,3,157.2,13912,77,17.9,30,4756,1107.59
72,490,2,21,82,77,17.9,25,4528,1072.98
37,5240,3,21,127,80,19.3,11,4951,1474.19
47,600,12,240.2,938,78,19.4,8,4437,1294.62
26,10,3,28.9,113,78,18.9,14,4676,1384.74
32,104,3,29.9,117,79,19.4,13,4642,1418.14
40,4430,2,342.8,1340,77,16.2,47,4355,1210.12
90,5400,2,21,104,76,16.7,39,4482,1150.77
52,1930,3,60,234,77,16.2,47,4355,1210.12
19,490,4,335,1309,79,19.5,8,4841,1472.46
54,800,2,21,82,78,15.6,57,4521,1462.63
28,100,4,80.1,313,78,20.7,0,4392,1541.35
34,45040,3,173.9,680,77,17.9,30,4756,1107.59
54,490,3,25.9,102,79,19.5,8,4841,1472.46
23,1930,3,143,559,77,16.2,47,4355,1210.12
13,1750,5,200.1,781,76,18.9,14,4231,1334.9
46,620,3,30.8,121,76,19.2,13,4163,1241.28
85,1270,2,21,82,75,18.3,16,4199,1141.68
25,70,2,21,82,78,14.4,69,4451,1510
46,39000,3,158.1,1459,76,16.8,41,4359,1120.56
59,490,5,149.9,586,77,17.9,30,4756,1107.59
40,930,7,266.1,1039,78,16,50,4568,1345.25
21,104,1,39,152,76,17.5,32,4518,1116.36
17,80,1,44.9,176,78,14.9,65,4524,1515.94
54,8320,3,37.1,145,77,16.4,43,4521,1263.46
41,9010,4,144,563,77,18.5,15,4386,1102.21
95,1560,3,25.9,102,76,17.5,32,4518,1116.36
46,105710,2,24.9,124,77,16.2,47,4355,1210.12
42,104,3,32.2,125,76,18.9,14,4231,1334.9
68,810,3,33.1,129,80,19.3,11,4951,1474.19
42,20,3,33.1,129,76,17.8,27,4512,1039.26
22,8150,3,32.2,125,76,16.8,41,4359,1120.56
25,600,2,83,324,78,16,50,4568,1345.25
72,590,1,21,82,79,19.9,5,4891,1458.74
52,130,3,25.9,102,76,19.5,6,4317,1325.87
43,30,3,21,82,75,18.7,16,4211,1174.05
63,276840,2,24,375,77,16.2,47,4355,1210.12
31,18320,3,190,742,77,16.2,47,4355,1210.12
17,90,3,165,14652,76,16.8,41,4359,1120.56
14,10920,3,160.1,966,77,16.2,47,4355,1210.12
24,22190,4,151.9,594,74,18,19,3993,1394.54
15,3630,3,42,254,77,17.3,31,4643,1076.38
29,490,3,32.2,125,77,16.3,43,4537,1196.86
31,15440,3,38.1,229,76,16.8,41,4359,1120.56
108,12100,2,21,104,77,17.3,31,4643,1076.38
48,100,2,23,90,76,17.3,32,4479,1129.57
46,61760,3,182.1,905,76,20,3,4432,1557.81
38,74810,3,149,582,76,16.8,41,4359,1120.56
18,104,1,66.9,190,78,13.4,76,4325,1558.15
16,530,4,160.1,625,79,19.5,8,4841,1472.46
62,9840,3,32.2,125,77,16.2,47,4355,1210.12
30,1690,8,319.9,1250,79,19.4,13,4642,1418.14
61,600,4,107.9,422,76,19.2,9,4289,1149.91
14,600,3,60,234,80,19.3,11,4951,1474.19
31,13660,4,120.1,469,76,20,3,4432,1557.81
35,1930,2,24.9,98,77,16.4,43,4521,1263.46
43,110,4,69.9,0,77,17.9,25,4528,1072.98
82,950,2,34.1,133,76,17.2,36,4474,1115.61
61,210,2,22,86,78,15.8,52,4607,1283.64
17,1160,7,259.8,1016,76,17.5,32,4518,1116.36
62,490,2,21,82,77,16.8,38,4652,1241.05
37,1768,2,244.1,693,77,17.9,30,4756,1107.59
69,5670,6,180.1,1279,78,19.4,8,4437,1294.62
72,490,3,32.2,125,77,18.5,19,4761,1162.61
72,5060,2,21,82,76,16.8,41,4359,1120.56
30,140,3,29.9,0,76,19.2,13,4163,1241.28
62,20030,3,36.1,332,76,16.8,41,4359,1120.56
17,5950,3,185,723,76,18.2,22,4269,1023.09
28,15130,2,248,969,77,16.4,43,4521,1263.46
46,45740,4,323.2,1606,76,20,3,4432,1557.81
30,8080,5,57.1,0,76,16.8,41,4359,1120.56
40,490,5,440.9,1723,76,17.3,32,4479,1129.57
43,2660,4,41,160,78,16,50,4568,1345.25
4,32,3,100.1,88,78,19.4,8,4437,1294.62
15,104,1,59.1,231,78,19.4,8,4437,1294.62
33,490,2,21,82,77,16.4,43,4521,1263.46
36,490,3,36.1,0,77,16.8,38,4652,1241.05
25,17350,2,1536.1,9281,77,16.2,47,4355,1210.12
32,19630,8,675.9,4082,74,18,19,3993,1394.54
25,22220,3,191.9,1159,76,20,3,4432,1557.81
57,5400,2,24,94,77,16.4,43,4521,1263.46
53,20270,5,180.1,1279,79,19.4,10,4738,1381.25
19,2730,2,240.2,938,76,17.2,36,4474,1115.61
33,13820,1,68.9,270,77,16.2,47,4355,1210.12
58,1930,2,60,0,76,16.8,41,4359,1120.56
3,320,3,149.9,13320,78,15.8,52,4607,1283.64
57,410,2,21,82,76,19.2,9,4289,1149.91
17,5950,10,993.1,3880,76,18.2,22,4269,1023.09
46,6070,3,99.1,387,74,18.2,25,4253,1055.31
27,2080,8,255.9,1000,76,18.6,20,4202,1137.8
16,11200,3,128,500,78,13.7,74,4453,1501.58
3,1930,1,32.2,2812,76,16.8,41,4359,1120.56
46,330,6,240.2,938,77,17.3,31,4643,1076.38
92,1400,2,21,82,78,18.9,14,4676,1384.74
26,36580,2,24.9,151,77,16.2,47,4355,1210.12
43,490,2,21,82,77,16.3,43,4537,1196.86
19,5110,3,335,0,77,17.9,30,4756,1107.59
51,490,4,49.9,195,77,17.3,31,4643,1076.38
64,2070,4,191.9,750,78,15.1,59,4627,1252.83
66,490,3,28.9,113,76,17.8,27,4512,1039.26
41,490,3,28.9,113,74,18.2,25,4253,1055.31
69,1110,4,44,172,79,18.9,10,4683,1302.41
34,30700,3,173.9,680,77,17.9,30,4756,1107.59
26,4720,3,36.1,141,78,14.4,69,4451,1510
21,140,3,33.1,129,79,18.9,10,4683,1302.41
68,1768,1,26.9,105,78,16,50,4568,1345.25
47,940,4,306.1,1196,76,20,3,4432,1557.81
81,9800,1,44.9,272,77,16.2,47,4355,1210.12
9,1700,5,200.1,0,77,19.9,5,4656,1447.84
35,7610,3,32.2,227,76,16.8,41,4359,1120.56
22,620,3,28.9,113,78,16,50,4568,1345.25
40,600,1,29.9,117,76,16.7,39,4482,1150.77
53,128280,3,123,0,76,16.8,41,4359,1120.56
16,2170,6,240.2,938,78,19.4,8,4437,1294.62
58,290,2,21,82,77,18.5,15,4386,1102.21
33,490,4,39,152,77,18.5,15,4386,1102.21
23,43610,2,185,920,77,16.4,43,4521,1263.46
42,75420,3,157.2,613,77,16.2,47,4355,1210.12
54,800,3,113.8,445,79,18.9,10,4683,1302.41
43,31600,3,23,139,78,14.9,65,4524,1515.94
19,7490,4,576.1,2251,78,15.1,59,4627,1252.83
73,4750,3,37.1,145,78,14.9,65,4524,1515.94
63,14780,4,191.9,750,77,16.3,43,4537,1196.86
49,1940,3,44.9,176,77,16.2,47,4355,1210.12
30,1090,3,28.9,113,76,16.8,41,4359,1120.56
56,145890,3,113.8,1174,76,16.8,41,4359,1120.56
68,600,2,21,82,76,17.3,32,4479,1129.57
47,490,3,198.2,774,77,16.8,38,4652,1241.05
9,6000,3,220.1,0,76,17.8,27,4512,1039.26
75,560,4,43,168,76,19.2,9,4289,1149.91
64,1640,3,89.9,352,76,19.2,13,4163,1241.28
18,10000,3,210,821,77,16.3,43,4537,1196.86
23,490,4,39,152,76,16.8,41,4359,1120.56
45,88590,4,194.9,970,77,16.2,47,4355,1210.12
62,4900,2,23,90,75,19.3,7,4325,1544.85
26,160,6,240.2,938,75,17.7,25,4277,1191.47
73,5340,2,236.9,926,77,16.3,43,4537,1196.86
50,600,3,28.9,113,76,16.7,39,4482,1150.77
66,280,5,149.9,586,76,18.6,20,4202,1137.8
57,330,5,149.9,586,80,19.3,11,4951,1474.19
51,25820,3,33.1,199,76,17.5,32,4518,1116.36
87,5410,2,23,139,76,16.8,41,4359,1120.56
48,73260,3,29.9,149,76,16.7,39,4482,1150.77
50,7350,6,297.9,1164,77,17.3,33,4649,1148.89
82,2020,4,43,168,76,19.2,9,4289,1149.91
60,7841,4,54.1,211,76,16.8,41,4359,1120.56
62,600,3,113.8,445,76,17.5,32,4518,1116.36
5,6060,12,1174.9,104340,76,18.2,22,4269,1023.09
42,8590,4,160.1,966,74,18,19,3993,1394.54
30,10450,4,288.1,1125,77,16.2,47,4355,1210.12
18,600,1,65,254,76,17.5,32,4518,1116.36
42,860,4,44.9,176,76,16.7,39,4482,1150.77
59,41240,3,131.9,516,78,15.1,59,4627,1252.83
72,21780,3,32.2,227,76,17.8,27,4512,1039.26
32,1930,4,368.1,2222,77,16.2,47,4355,1210.12
48,11990,5,336,1313,77,16.2,47,4355,1210.12
28,7080,3,166,649,76,18.4,15,4225,1431.38
63,6550,4,208,813,79,19.4,10,4738,1381.25
28,24670,3,150.9,912,77,16.2,47,4355,1210.12
48,16340,4,39,152,75,18.7,16,4211,1174.05
21,20870,4,419.9,4774,77,16.2,47,4355,1210.12
45,17680,3,145,567,77,17.3,33,4649,1148.89
18,5500,3,232,906,74,18.2,25,4253,1055.31
56,350,4,128,500,77,18.5,19,4761,1162.61
60,250,4,43,168,77,18.8,14,4423,1133.43
29,430,2,21,82,76,19.2,9,4289,1149.91
42,70,5,180.1,703,76,18.6,20,4202,1137.8
26,490,3,29.9,117,78,15.8,52,4607,1283.64
51,490,2,21,82,77,16.3,43,4537,1196.86
48,44870,12,456,2268,76,20,3,4432,1557.81
56,148250,5,194.9,2424,76,16.8,41,4359,1120.56
7,10200,4,472.1,24050,78,15.8,52,4607,1283.64
31,13620,4,308.1,1203,76,16.8,41,4359,1120.56
64,5350,3,101.4,387,76,16.8,41,4359,1120.56
15,23630,2,298.9,3080,77,16.2,47,4355,1210.12
18,1270,4,44,172,78,16,50,4568,1345.25
52,5230,4,35.1,211,78,16,50,4568,1345.25
11,104,3,28.9,82,76,16.7,39,4482,1150.77
10,500,2,21,1,77,17.9,30,4756,1107.59
30,10200,2,202.1,1220,76,16.8,41,4359,1120.56
68,3000,4,24,94,76,19.5,6,4317,1325.87
84,5100,2,21,82,76,16.7,39,4482,1150.77
64,50,4,263.1,1016,77,18.5,15,4386,1102.21
62,7170,3,89.9,352,77,17.9,30,4756,1107.59
29,12390,3,99.1,387,77,19.9,5,4656,1447.84
30,6330,5,149.9,586,78,20.4,4,4824,1481.42
46,1570,4,460,1797,76,16.7,39,4482,1150.77
14,600,3,32.2,125,76,17.2,36,4474,1115.61
22,22050,6,235.9,1677,77,16.3,43,4537,1196.86
30,1830,2,140.1,547,76,16.8,41,4359,1120.56
42,270,5,102,399,79,18.9,10,4683,1302.41
52,1760,4,40,156,78,14.4,69,4451,1510
67,710,3,28.9,113,76,19.2,9,4289,1149.91
37,600,3,27.9,109,77,16.4,43,4521,1263.46
84,5490,2,24,94,78,15.1,59,4627,1252.83
26,6970,10,399.9,1563,76,18.2,22,4269,1023.09
14,1630,14,560,0,77,17.9,25,4528,1072.98
21,90,3,40,156,78,16,50,4568,1345.25
24,19030,3,165,1348,74,18,19,3993,1394.54
33,14080,4,44,313,78,16,50,4568,1345.25
96,6030,2,21,82,76,17.2,36,4474,1115.61
74,10850,2,21,82,78,15.6,57,4521,1462.63
97,3390,2,24.9,98,76,17.8,27,4512,1039.26
57,600,6,89.9,352,79,19.4,10,4738,1381.25
14,1140,4,43,168,77,17.9,30,4756,1107.59
85,3150,2,21,82,77,19.9,5,4656,1447.84
56,55720,2,29.9,181,76,20,3,4432,1557.81
57,490,4,43,168,77,18.5,15,4386,1102.21
81,14290,2,26.9,0,77,16.8,38,4652,1241.05
8,8620,2,240.2,884448,77,17.9,30,4756,1107.59
34,490,2,22,86,78,15.1,59,4627,1252.83
37,12610,3,21,127,80,19.3,11,4951,1474.19
69,410,3,28.9,0,76,18.6,20,4202,1137.8
33,490,4,32.2,125,78,13.4,76,4325,1558.15
50,27200,5,200.1,1421,77,16.2,47,4355,1210.12
32,15140,3,240.2,1193,74,18,19,3993,1394.54
15,760,2,21,82,78,16,50,4568,1345.25
49,490,8,160.1,625,75,18.6,16,4198,1088.31
15,1510,10,399.9,1563,76,18.6,20,4202,1137.8
62,490,4,190,742,77,18.5,15,4386,1102.21
14,23500,11,1144,4470,77,16.2,47,4355,1210.12
84,168,2,29.9,30,78,15.8,52,4607,1283.64
42,50,7,140.1,547,76,18.9,14,4231,1334.9
40,41060,3,166,649,77,16.4,43,4521,1263.46
11,2280,6,220.1,860,78,19.4,8,4437,1294.62
27,15260,5,460,2778,76,17.2,36,4474,1115.61
88,2410,3,25.9,102,79,19.5,8,4841,1472.46
60,4670,4,257.9,1008,77,16.2,47,4355,1210.12
49,5670,4,144,0,77,19.9,5,4656,1447.84
37,490,3,32.2,125,79,18.9,10,4683,1302.41
32,10140,3,107.9,422,74,18,19,3993,1394.54
47,20650,3,164,990,74,18,19,3993,1394.54
31,5820,3,242.1,946,78,15.1,59,4627,1252.83
26,490,3,40,156,78,14.4,69,4451,1510
25,190,14,560,2188,79,19.5,8,4841,1472.46
53,600,3,25.9,102,78,19.1,8,4599,1293.02
39,490,5,169.9,664,78,15.1,59,4627,1252.83
57,130510,3,32.2,0,76,16.8,41,4359,1120.56
46,1030,4,144,563,78,15.6,57,4521,1462.63
